size,product,colorway,event_base_price,asset,source_file
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Pink,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-clear-pink.png,rRBYfWUXI49wo0YTOFXXexzJrdpRXaptKdXHZwjC.png
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke / White,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-smoke-white.png,QtiuBxIH3VQD6ebVQYlWARpZoY9vgOGoAVCdjZww.png
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Yellow / Smoke,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-yellow-smoke.png,anYsQxQfzD29K7KTvQE6JrYnxKM4kAzhbbbgCsmt.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Clear,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-clear.jpg,g9Gx97ZoY5Aotdfp4NihLKracpw6tV6fxH9PtOqt.jpg.jpeg
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Lake Green,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-clear-lake-green.png,1jA6aTET6sV2dQiwf5GqCOkorXdKwkn7EcqdgWrp.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Lavender,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-clear-lavender.png,DTu259PoLu6knkShAPFKL7gt1HfQfKpv5mqWd2R9.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Black,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-clear-black.png,Wt8s0C23OFPx3I9Csemu09gpg506AE7Pxvw7eoLP.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Blue,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-clear-blue.png,7lscHHjZYCSs3R9rw6QyIFXj2S2gCUMIm1wP23xA.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Green,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-clear-green.png,FrXto54hykFP4NGl9kPrWuBWfYC3lLVf3Phoro0J.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Matrix Green,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-clear-matrix-green.png,AWLnvzpmD1c4Ouwezpgq0TfOWyQ6ZCovItfpgRpW.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke / Matrix,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-smoke-matrix.png,AWLnvzpmD1c4Ouwezpgq0TfOWyQ6ZCovItfpgRpW.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke / White,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-smoke-white.png,scCWlmnERiZtvx7z0kUZRs4iAnrukQT3YapYjtZX.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke / Yellow,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-smoke-yellow.png,e0Nml67FE4rsSvXxejxPPl8Mwmh28PMLJ3MkQ9Cz.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,White / Black,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-white-black.png,lCnngpZiUlJ5znxKraJmHYtwmuWaBizQ1N9ojVvJ.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,White / Pink,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-white-pink.png,x0hOCfpfpu8X1cOPKK7XBH5Syeer7FbKPvFxLxNv.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Yellow / Smoke,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-yellow-smoke.png,TMg1AufiBdlI4lQYeAr0r9fOLa3EIdZ2WopZiSdK.png
12 inch,Human Grade 12-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Pink,$70,assets/medusa/12-inch-ball/pixies-pantry-human-grade-12-inch-ball-water-pipe-clear-pink.png,TqZvI5r6vhimNDr57aYcsDu2UWTy9mssuz3kicv7.png
